"","gene_ref","gene_id","gene_name","condition_1","condition_2","gene_switch_q_value","switchConsequencesGene","Rank"
"324","geneComp_00035144","ZNF875","ZNF875","normal","tumor",0.00798450489419991,TRUE,209
"325","geneComp_00016362","FGGY","FGGY","normal","tumor",0.00809237506202617,TRUE,210
"326","geneComp_00022093","LYST","LYST","normal","tumor",0.00809294469024344,TRUE,211
"327","geneComp_00031448","TACC3","TACC3","normal","tumor",0.00819441097320904,TRUE,212
"328","geneComp_00028791","RPS6KB2","RPS6KB2","normal","tumor",0.0082209103161846,TRUE,213
"330","geneComp_00030621","SNX33","SNX33","normal","tumor",0.00827518119646214,TRUE,214
"332","geneComp_00034568","ZNF141","ZNF141","normal","tumor",0.00829980323217808,TRUE,215
"333","geneComp_00000811","ANKAR","ANKAR","normal","tumor",0.00841896628633179,TRUE,216
"334","geneComp_00032860","TREX1","TREX1","normal","tumor",0.00856656058248757,TRUE,217
"336","geneComp_00015621","ERMP1","ERMP1","normal","tumor",0.00857352170671717,TRUE,218
"337","geneComp_00021406","LINC02615","LINC02615","normal","tumor",0.00888114395732049,TRUE,219
"338","geneComp_00017485","GRAMD1B","GRAMD1B","normal","tumor",0.00889294678091538,TRUE,220
"339","geneComp_00030055","SLC39A7","SLC39A7","normal","tumor",0.00889294678091538,TRUE,221
"341","geneComp_00026428","PPRC1","PPRC1","normal","tumor",0.00892113349387131,TRUE,222
"342","geneComp_00002046","BRD3OS","BRD3OS","normal","tumor",0.00893580223954765,TRUE,223
"343","geneComp_00034811","ZNF480","ZNF480","normal","tumor",0.00921854876561874,TRUE,224
"345","geneComp_00026666","PRRC2C","PRRC2C","normal","tumor",0.00927809506116591,TRUE,225
"346","geneComp_00029620","SHF","SHF","normal","tumor",0.00932987469634298,TRUE,226
"347","geneComp_00001315","ARPIN","ARPIN","normal","tumor",0.0097243083773747,TRUE,227
"349","geneComp_00029206","SCO1","SCO1","normal","tumor",0.0097243083773747,TRUE,228
"350","geneComp_00031654","TBXAS1","TBXAS1","normal","tumor",0.0097243083773747,TRUE,229
"351","geneComp_00021756","LMNB2","LMNB2","normal","tumor",0.00975779405647551,TRUE,230
"353","geneComp_00026164","POLR3H","POLR3H","normal","tumor",0.00977760174873843,TRUE,231
"355","geneComp_00027250","RAPGEFL1","RAPGEFL1","normal","tumor",0.00980850170772441,TRUE,232
"356","geneComp_00018970","IKZF5","IKZF5","normal","tumor",0.00982872219971886,TRUE,233
"358","geneComp_00022623","MFSD5","MFSD5","normal","tumor",0.00982872219971886,TRUE,234
"359","geneComp_00026529","PRKAG2","PRKAG2","normal","tumor",0.00987213601170429,TRUE,235
"360","geneComp_00026573","PRMT2","PRMT2","normal","tumor",0.00994855629000757,TRUE,236
